OrderID,OrderDate,CustomerID,CustomerName,Region,Category,Product,Quantity,UnitPrice,SalesRep,PaymentMethod,CustomerSegment,Revenue
ORD101583,2024-03-14,CUST1323,Krishna Reddy,West,Furniture,Standing Desk,4,145.32,S. Khan,Debit Card,New,581.28
ORD101017,2024-02-24,CUST1177,Ananya Reddy,East,Electronics,27in Monitor,4,78.84,S. Khan,UPI,Returning,315.36
ORD100141,2024-12-03,CUST1141,Aarav Iyer,West,Office Supplies,Sticky Notes,3,198.33,P. Iyer,Net Banking,New,594.99
ORD100111,2025-07-05,CUST1111,Krishna Mehta,East,Furniture,Filing Cabinet,2,68.67,N. Joshi,Wallet,New,137.34
ORD100458,2024-04-08,CUST1038,Riya Sharma,West,Electronics,Wireless Mouse,2,390.15,S. Khan,UPI,New,780.3
ORD101138,2024-06-16,CUST1298,Aarav Kumar,South,Office Supplies,Desk Organizer,2,359.76,M. Gupta,Credit Card,New,719.52
ORD101084,2024-02-27,CUST1244,Ishaan Agarwal,South,Software,Antivirus License,4,105.24,N. Joshi,Credit Card,New,420.96
ORD100648,2025-04-07,CUST1228,Navya Malhotra,North,Office Supplies,Notebook Pack,1,223.86,M. Gupta,UPI,Returning,223.86
ORD100503,2025-02-13,CUST1083,Ananya Nair,East,Furniture,Office Chair,3,197.14,N. Joshi,Credit Card,Returning,591.42
ORD101484,2025-10-19,CUST1224,Ananya Khan,West,Furniture,Office Chair,2,180.83,N. Joshi,UPI,Returning,361.66
ORD101187,2024-10-13,CUST1347,Kavya Khan,South,Electronics,USB-C Hub,1,33.02,P. Iyer,Credit Card,New,33.02
ORD100140,2025-03-21,CUST1140,Ishaan Kumar,West,Office Supplies,Sticky Notes,4,140.49,N. Joshi,UPI,New,561.96
ORD101599,2024-12-02,CUST1339,Diya Mehta,South,Electronics,Webcam HD,5,422.96,S. Khan,Credit Card,New,2114.8
ORD100872,2025-12-25,CUST1032,Kavya Gupta,West,Software,Cloud Backup Plan,3,431.46,R. Verma,Net Banking,Returning,1294.38
ORD100895,2024-08-28,CUST1055,Ayaan Khan,West,Office Supplies,Whiteboard,4,104.74,A. Sharma,Net Banking,Returning,418.96
ORD100912,2024-06-02,CUST1072,Aditya Patel,South,Furniture,Bookshelf,4,256.85,R. Verma,Net Banking,Returning,1027.4
ORD100540,2025-02-03,CUST1120,Kavya Agarwal,West,Electronics,Mechanical Keyboard,2,99.46,A. Sharma,Wallet,Returning,198.92
ORD100698,2024-12-26,CUST1278,Aarav Gupta,East,Software,VPN Subscription,4,448.16,S. Khan,Debit Card,Returning,1792.64
ORD101058,2025-05-13,CUST1218,Saanvi Verma,East,Electronics,USB-C Hub,1,183.82,A. Sharma,Credit Card,Returning,183.82
ORD101195,2024-12-16,CUST1355,Arjun Verma,East,Office Supplies,Sticky Notes,2,410.83,N. Joshi,Credit Card,Returning,821.66
ORD101076,2025-09-04,CUST1236,Aarav Kumar,South,Software,Cloud Backup Plan,1,382.16,A. Sharma,Net Banking,New,382.16
ORD100447,2024-06-21,CUST1027,Reyansh Agarwal,West,Electronics,Webcam HD,4,432.92,M. Gupta,Net Banking,New,1731.68
ORD100817,2025-05-24,CUST1397,Aditya Iyer,West,Office Supplies,Desk Organizer,5,190.29,A. Sharma,Net Banking,Returning,951.45
ORD100913,2024-02-10,CUST1073,Pari Iyer,North,Furniture,Standing Desk,1,187.78,S. Khan,Wallet,Returning,187.78
ORD100058,2025-01-09,CUST1058,Sai Singh,North,Furniture,Filing Cabinet,1,121.58,N. Joshi,Net Banking,New,121.58
ORD101412,2024-08-01,CUST1152,Kavya Patel,East,Furniture,Filing Cabinet,3,352.01,S. Khan,Credit Card,Returning,1056.03
ORD101237,2025-12-02,CUST1397,Sai Patel,West,Office Supplies,Pen Set,1,402.93,A. Sharma,UPI,Returning,402.93
ORD100346,2025-04-27,CUST1346,Vivaan Mehta,South,Office Supplies,Notebook Pack,2,317.97,P. Iyer,Credit Card,Returning,635.94
ORD100012,2025-02-14,CUST1012,Ayaan Gupta,North,Electronics,Wireless Mouse,1,175.51,S. Khan,Net Banking,Returning,175.51
ORD101286,2025-11-25,CUST1026,Vivaan Mehta,East,Furniture,Standing Desk,5,328.31,A. Sharma,UPI,Returning,1641.55
ORD100409,2025-08-17,CUST1409,Diya Gupta,East,Furniture,Filing Cabinet,2,83.08,A. Sharma,Net Banking,Returning,166.16
ORD100060,2025-09-16,CUST1060,Navya Malhotra,North,Software,Antivirus License,1,288.85,A. Sharma,Debit Card,New,288.85
ORD100071,2025-09-02,CUST1071,Ishaan Mehta,West,Office Supplies,Sticky Notes,1,76.77,S. Khan,UPI,Returning,76.77
ORD100511,2024-10-16,CUST1091,Saanvi Iyer,East,Software,Cloud Backup Plan,4,51.02,A. Sharma,Net Banking,Returning,204.08
ORD100043,2024-06-01,CUST1043,Reyansh Iyer,North,Furniture,Desk Lamp,1,39.56,M. Gupta,Net Banking,Returning,39.56
ORD100370,2024-10-22,CUST1370,Kavya Mehta,West,Electronics,Mechanical Keyboard,4,330.04,R. Verma,Debit Card,Returning,1320.16
ORD100311,2025-09-30,CUST1311,Navya Chopra,West,Furniture,Filing Cabinet,1,279.52,R. Verma,Wallet,New,279.52
ORD101502,2024-08-22,CUST1242,Aditya Mehta,North,Office Supplies,Pen Set,1,51.29,P. Iyer,UPI,New,51.29
ORD101450,2025-06-27,CUST1190,Ananya Kumar,North,Electronics,Wireless Mouse,1,103.8,N. Joshi,Credit Card,Returning,103.8
ORD101201,2024-10-01,CUST1361,Krishna Iyer,North,Software,Cloud Backup Plan,1,449.06,N. Joshi,Debit Card,New,449.06
ORD101312,2025-12-09,CUST1052,Ananya Verma,West,Office Supplies,Pen Set,2,391.19,R. Verma,Credit Card,New,782.38
ORD100200,2025-09-07,CUST1200,Aarav Khan,South,Software,Antivirus License,2,119.56,N. Joshi,Net Banking,Returning,239.12
ORD100115,2025-11-21,CUST1115,Aarav Mehta,West,Furniture,Standing Desk,1,278.04,P. Iyer,Credit Card,Returning,278.04
ORD101553,2024-02-06,CUST1293,Aadhya Patel,North,Furniture,Office Chair,2,327.28,P. Iyer,UPI,Returning,654.56
ORD101309,2025-11-16,CUST1049,Krishna Kumar,North,Furniture,Filing Cabinet,2,274.21,S. Khan,Credit Card,New,548.42
ORD100948,2024-03-07,CUST1108,Riya Gupta,North,Electronics,27in Monitor,3,152.93,N. Joshi,Net Banking,New,458.79
ORD101151,2025-12-02,CUST1311,Vihaan Chopra,West,Furniture,Standing Desk,5,25.28,A. Sharma,Wallet,New,126.4
ORD100065,2025-11-05,CUST1065,Anika Singh,West,Electronics,27in Monitor,5,292.36,S. Khan,Credit Card,Returning,1461.8
ORD100732,2024-09-28,CUST1312,Myra Singh,East,Office Supplies,Notebook Pack,1,354.2,R. Verma,UPI,New,354.2
ORD100009,2024-12-12,CUST1009,Anika Khan,East,Furniture,Filing Cabinet,2,268.09,A. Sharma,Credit Card,Returning,536.18
ORD100374,2024-05-18,CUST1374,Vivaan Gupta,North,Office Supplies,Pen Set,1,31.38,A. Sharma,Net Banking,Returning,31.38
ORD100051,2024-06-04,CUST1051,Saanvi Nair,North,Software,VPN Subscription,1,63.8,S. Khan,Credit Card,Returning,63.8
ORD100358,2024-07-08,CUST1358,Kavya Agarwal,West,Electronics,27in Monitor,5,319.12,N. Joshi,Net Banking,New,1595.6
ORD101021,2024-06-21,CUST1181,Kavya Joshi,West,Software,Antivirus License,2,427.01,N. Joshi,Debit Card,Returning,854.02
ORD100037,2025-12-29,CUST1037,Riya Agarwal,North,Software,VPN Subscription,5,358.48,P. Iyer,Wallet,Returning,1792.4
ORD100922,2024-04-24,CUST1082,Aarav Reddy,North,Office Supplies,Notebook Pack,1,116.02,P. Iyer,Net Banking,New,116.02
ORD100680,2024-04-28,CUST1260,Reyansh Kumar,East,Electronics,Webcam HD,5,69.8,M. Gupta,Credit Card,Returning,349.0
ORD101406,2025-05-07,CUST1146,Riya Iyer,North,Electronics,Mechanical Keyboard,1,357.5,A. Sharma,Wallet,Returning,357.5
ORD100278,2025-10-02,CUST1278,Navya Patel,South,Software,Antivirus License,1,165.14,S. Khan,Debit Card,Returning,165.14
ORD101313,2025-03-18,CUST1053,Anika Malhotra,West,Furniture,Office Chair,1,231.47,A. Sharma,Wallet,New,231.47
ORD101594,2025-04-22,CUST1334,Vihaan Patel,West,Office Supplies,Sticky Notes,1,301.48,S. Khan,UPI,New,301.48
ORD101051,2024-07-29,CUST1211,Diya Verma,West,Software,Cloud Backup Plan,1,270.58,A. Sharma,Credit Card,Returning,270.58
ORD100004,2024-11-18,CUST1004,Krishna Verma,South,Furniture,Filing Cabinet,5,182.87,R. Verma,Wallet,Returning,914.35
ORD100188,2024-04-13,CUST1188,Sai Reddy,East,Electronics,27in Monitor,2,438.68,M. Gupta,Net Banking,Returning,877.36
ORD101252,2025-01-18,CUST1412,Sai Singh,South,Office Supplies,Notebook Pack,3,385.25,P. Iyer,Net Banking,Returning,1155.75
ORD101384,2024-09-13,CUST1124,Pari Verma,South,Furniture,Standing Desk,4,220.77,A. Sharma,UPI,New,883.08
ORD101133,2024-07-03,CUST1293,Sai Chopra,South,Office Supplies,Whiteboard,4,174.63,N. Joshi,Wallet,Returning,698.52
ORD101137,2024-11-14,CUST1297,Saanvi Kumar,South,Furniture,Filing Cabinet,4,328.11,R. Verma,UPI,New,1312.44
ORD100286,2024-02-05,CUST1286,Kavya Khan,South,Furniture,Bookshelf,1,236.78,R. Verma,Debit Card,Returning,236.78
ORD100099,2025-08-17,CUST1099,Riya Verma,South,Furniture,Desk Lamp,1,299.16,M. Gupta,Credit Card,New,299.16
ORD101408,2025-05-17,CUST1148,Reyansh Iyer,West,Electronics,Webcam HD,2,388.2,A. Sharma,Credit Card,Returning,776.4
ORD101508,2025-11-27,CUST1248,Aarav Singh,North,Office Supplies,Whiteboard,5,445.74,M. Gupta,Wallet,Returning,2228.7
ORD100416,2024-11-13,CUST1416,Vihaan Kumar,West,Furniture,Standing Desk,3,302.16,S. Khan,UPI,Returning,906.48
ORD100101,2024-11-22,CUST1101,Reyansh Patel,West,Software,VPN Subscription,4,65.8,S. Khan,Credit Card,Returning,263.2
ORD100359,2024-03-23,CUST1359,Riya Reddy,East,Furniture,Desk Lamp,1,235.51,S. Khan,Net Banking,Returning,235.51
ORD101582,2025-06-23,CUST1322,Aditya Nair,West,Software,Cloud Backup Plan,1,197.42,A. Sharma,Wallet,Returning,197.42
ORD100127,2025-01-14,CUST1127,Ananya Nair,West,Furniture,Standing Desk,2,30.78,A. Sharma,Debit Card,New,61.56
ORD101397,2025-07-02,CUST1137,Ayaan Nair,North,Electronics,USB-C Hub,5,47.07,R. Verma,UPI,New,235.35
ORD100328,2025-12-29,CUST1328,Aadhya Mehta,North,Electronics,Mechanical Keyboard,4,176.65,R. Verma,Wallet,Returning,706.6
ORD100506,2025-12-09,CUST1086,Riya Nair,East,Electronics,Mechanical Keyboard,2,419.85,S. Khan,UPI,Returning,839.7
ORD100943,2024-07-13,CUST1103,Riya Reddy,East,Software,VPN Subscription,5,40.86,A. Sharma,Debit Card,Returning,204.3
ORD100473,2024-01-10,CUST1053,Arjun Reddy,West,Electronics,USB-C Hub,3,158.2,N. Joshi,Wallet,Returning,474.6
ORD101249,2025-09-04,CUST1409,Kavya Iyer,North,Software,VPN Subscription,2,165.31,N. Joshi,Wallet,Returning,330.62
ORD100189,2024-02-25,CUST1189,Saanvi Reddy,East,Electronics,Wireless Mouse,1,197.0,R. Verma,Credit Card,New,197.0
ORD100699,2024-10-23,CUST1279,Saanvi Singh,South,Electronics,Wireless Mouse,1,346.96,P. Iyer,Debit Card,Returning,346.96
ORD100971,2024-10-08,CUST1131,Kavya Nair,North,Office Supplies,Notebook Pack,1,152.01,M. Gupta,Debit Card,Returning,152.01
ORD100445,2025-01-19,CUST1025,Ananya Gupta,North,Software,Antivirus License,1,97.53,M. Gupta,UPI,New,97.53
ORD100228,2024-06-26,CUST1228,Kavya Gupta,South,Office Supplies,Sticky Notes,4,25.96,P. Iyer,Credit Card,Returning,103.84
ORD100113,2024-08-02,CUST1113,Ayaan Joshi,East,Electronics,Webcam HD,4,397.95,S. Khan,UPI,New,1591.8
ORD101215,2025-01-31,CUST1375,Anika Iyer,South,Software,Antivirus License,4,429.09,M. Gupta,UPI,Returning,1716.36
ORD100063,2025-07-21,CUST1063,Arjun Agarwal,North,Furniture,Standing Desk,2,367.37,M. Gupta,Credit Card,Returning,734.74
ORD100707,2025-06-18,CUST1287,Krishna Reddy,West,Furniture,Desk Lamp,1,105.69,N. Joshi,Debit Card,Returning,105.69
ORD100179,2025-10-20,CUST1179,Aditya Kumar,West,Software,Antivirus License,1,445.32,S. Khan,Net Banking,Returning,445.32
ORD101586,2024-07-12,CUST1326,Reyansh Malhotra,North,Electronics,Mechanical Keyboard,5,338.51,N. Joshi,UPI,New,1692.55
ORD100185,2024-08-14,CUST1185,Navya Patel,North,Electronics,Mechanical Keyboard,5,70.16,R. Verma,Credit Card,Returning,350.8
ORD100845,2024-06-26,CUST1005,Ayaan Singh,North,Office Supplies,Whiteboard,2,55.47,M. Gupta,UPI,Returning,110.94
ORD100117,2025-12-21,CUST1117,Sai Iyer,North,Software,Cloud Backup Plan,1,290.31,R. Verma,UPI,New,290.31
ORD100904,2025-03-06,CUST1064,Sai Patel,South,Software,Antivirus License,1,345.87,R. Verma,Debit Card,Returning,345.87
ORD100755,2024-09-26,CUST1335,Krishna Mehta,West,Software,VPN Subscription,3,169.12,A. Sharma,Debit Card,Returning,507.36
ORD100348,2025-01-03,CUST1348,Sai Patel,East,Electronics,Webcam HD,3,252.61,A. Sharma,Wallet,Returning,757.83
ORD100186,2024-04-20,CUST1186,Ayaan Mehta,West,Furniture,Standing Desk,1,178.58,S. Khan,UPI,Returning,178.58
ORD101183,2024-12-25,CUST1343,Anika Khan,South,Furniture,Desk Lamp,2,375.37,R. Verma,UPI,New,750.74
ORD100638,2025-02-21,CUST1218,Ananya Reddy,West,Office Supplies,Notebook Pack,5,424.58,P. Iyer,Debit Card,New,2122.9
ORD101238,2024-05-27,CUST1398,Kavya Nair,West,Office Supplies,Notebook Pack,1,387.97,M. Gupta,UPI,Returning,387.97
ORD100531,2024-06-13,CUST1111,Saanvi Iyer,South,Electronics,Mechanical Keyboard,5,432.19,S. Khan,Debit Card,Returning,2160.95
ORD100027,2025-07-15,CUST1027,Navya Chopra,South,Furniture,Filing Cabinet,1,336.7,N. Joshi,Net Banking,Returning,336.7
ORD100167,2025-03-15,CUST1167,Vihaan Agarwal,South,Office Supplies,Sticky Notes,1,124.22,M. Gupta,Net Banking,New,124.22
ORD100354,2024-09-12,CUST1354,Reyansh Nair,West,Office Supplies,Whiteboard,1,313.96,S. Khan,UPI,New,313.96
ORD100993,2025-05-01,CUST1153,Aditya Joshi,South,Furniture,Desk Lamp,1,33.45,P. Iyer,Wallet,New,33.45
ORD101010,2025-07-13,CUST1170,Riya Reddy,South,Furniture,Desk Lamp,4,212.08,P. Iyer,UPI,New,848.32
ORD101083,2024-05-01,CUST1243,Arjun Singh,South,Software,Cloud Backup Plan,1,178.08,P. Iyer,Wallet,New,178.08
ORD100669,2025-09-21,CUST1249,Aarav Agarwal,East,Office Supplies,Desk Organizer,1,80.85,A. Sharma,Debit Card,Returning,80.85
ORD100586,2024-03-08,CUST1166,Pari Agarwal,North,Office Supplies,Whiteboard,2,274.0,M. Gupta,Credit Card,Returning,548.0
ORD100556,2025-10-09,CUST1136,Vihaan Gupta,West,Electronics,USB-C Hub,1,12.8,M. Gupta,Net Banking,Returning,12.8
ORD100378,2024-05-13,CUST1378,Arjun Mehta,North,Office Supplies,Desk Organizer,4,313.34,S. Khan,Credit Card,New,1253.36
ORD100210,2024-02-19,CUST1210,Krishna Agarwal,North,Electronics,27in Monitor,1,29.32,P. Iyer,UPI,New,29.32
ORD101524,2024-08-28,CUST1264,Ayaan Patel,East,Furniture,Desk Lamp,1,220.97,R. Verma,Debit Card,Returning,220.97
ORD101383,2025-10-06,CUST1123,Kavya Khan,North,Furniture,Standing Desk,1,316.68,N. Joshi,Wallet,Returning,316.68
ORD101404,2025-03-03,CUST1144,Vivaan Gupta,North,Furniture,Standing Desk,1,186.66,M. Gupta,Wallet,New,186.66
ORD100568,2024-03-24,CUST1148,Sai Verma,North,Furniture,Bookshelf,5,393.11,A. Sharma,Credit Card,Returning,1965.55
ORD100717,2024-02-10,CUST1297,Anika Khan,South,Office Supplies,Sticky Notes,2,216.62,P. Iyer,Net Banking,Returning,433.24
ORD100294,2024-06-23,CUST1294,Pari Malhotra,South,Electronics,27in Monitor,2,96.71,A. Sharma,Credit Card,Returning,193.42
ORD100488,2025-01-19,CUST1068,Arjun Patel,West,Electronics,Wireless Mouse,1,113.22,P. Iyer,Debit Card,Returning,113.22
ORD101216,2024-06-12,CUST1376,Ishaan Khan,West,Furniture,Desk Lamp,2,167.83,M. Gupta,Net Banking,Returning,335.66
ORD101328,2025-11-17,CUST1068,Ananya Mehta,West,Office Supplies,Desk Organizer,4,249.75,R. Verma,Debit Card,Returning,999.0
ORD101165,2024-10-19,CUST1325,Sai Khan,South,Electronics,USB-C Hub,1,147.66,P. Iyer,UPI,Returning,147.66
ORD100287,2025-10-01,CUST1287,Vivaan Khan,North,Office Supplies,Notebook Pack,2,121.26,R. Verma,Credit Card,Returning,242.52
ORD101170,2025-08-20,CUST1330,Vivaan Gupta,South,Electronics,Webcam HD,1,370.44,S. Khan,Credit Card,Returning,370.44
ORD100017,2024-02-22,CUST1017,Krishna Joshi,East,Furniture,Standing Desk,4,374.57,P. Iyer,Debit Card,Returning,1498.28
ORD100658,2025-01-21,CUST1238,Vivaan Kumar,East,Office Supplies,Desk Organizer,1,369.69,M. Gupta,UPI,New,369.69
ORD101253,2024-07-16,CUST1413,Reyansh Reddy,North,Software,Cloud Backup Plan,2,383.61,A. Sharma,Wallet,New,767.22
ORD100980,2024-04-28,CUST1140,Vihaan Reddy,West,Office Supplies,Notebook Pack,4,185.99,N. Joshi,Credit Card,Returning,743.96
ORD100263,2025-04-29,CUST1263,Reyansh Gupta,East,Software,VPN Subscription,1,194.31,M. Gupta,Net Banking,Returning,194.31
ORD101531,2025-02-25,CUST1271,Diya Sharma,South,Furniture,Standing Desk,1,60.16,P. Iyer,UPI,Returning,60.16
ORD100118,2025-11-11,CUST1118,Riya Malhotra,West,Furniture,Filing Cabinet,2,308.71,M. Gupta,Net Banking,New,617.42
ORD100407,2025-10-24,CUST1407,Kavya Malhotra,East,Office Supplies,Pen Set,1,12.56,N. Joshi,Debit Card,Returning,12.56
ORD101152,2025-06-07,CUST1312,Vihaan Agarwal,East,Furniture,Desk Lamp,1,153.81,M. Gupta,Wallet,Returning,153.81
ORD100507,2025-08-29,CUST1087,Ishaan Verma,South,Furniture,Office Chair,1,261.19,N. Joshi,Credit Card,Returning,261.19
ORD101417,2024-11-17,CUST1157,Ayaan Patel,South,Electronics,Wireless Mouse,3,435.49,N. Joshi,Wallet,New,1306.47
ORD101559,2025-08-27,CUST1299,Ishaan Khan,West,Furniture,Filing Cabinet,2,208.57,P. Iyer,Net Banking,New,417.14
ORD101125,2024-12-04,CUST1285,Pari Agarwal,West,Office Supplies,Whiteboard,1,45.99,A. Sharma,Debit Card,Returning,45.99
ORD101296,2025-11-13,CUST1036,Diya Reddy,West,Electronics,Mechanical Keyboard,1,338.83,R. Verma,Debit Card,Returning,338.83
ORD100463,2024-04-27,CUST1043,Diya Sharma,South,Office Supplies,Notebook Pack,2,202.66,A. Sharma,Debit Card,New,405.32
ORD101275,2024-04-06,CUST1015,Ishaan Khan,North,Software,Antivirus License,2,209.38,S. Khan,Credit Card,Returning,418.76
ORD100595,2025-05-02,CUST1175,Aarav Malhotra,West,Electronics,Mechanical Keyboard,3,125.39,R. Verma,UPI,Returning,376.17
ORD100768,2024-04-11,CUST1348,Diya Nair,West,Office Supplies,Pen Set,1,402.42,R. Verma,Wallet,New,402.42
ORD101478,2025-05-22,CUST1218,Arjun Iyer,East,Software,VPN Subscription,2,19.02,N. Joshi,Wallet,New,38.04
ORD100517,2024-09-19,CUST1097,Pari Singh,East,Electronics,Mechanical Keyboard,1,441.13,S. Khan,Credit Card,New,441.13
ORD100757,2024-01-23,CUST1337,Pari Iyer,West,Software,VPN Subscription,1,403.96,P. Iyer,Credit Card,Returning,403.96
ORD101440,2025-01-12,CUST1180,Aadhya Khan,West,Furniture,Standing Desk,1,223.63,R. Verma,UPI,Returning,223.63
ORD100525,2025-05-19,CUST1105,Vivaan Verma,South,Office Supplies,Pen Set,4,307.25,N. Joshi,Wallet,New,1229.0
ORD101469,2024-11-07,CUST1209,Aarav Joshi,North,Electronics,Mechanical Keyboard,1,149.28,R. Verma,Debit Card,Returning,149.28
ORD100023,2024-11-03,CUST1023,Ananya Nair,West,Furniture,Desk Lamp,4,152.17,N. Joshi,UPI,New,608.68
ORD101436,2025-05-12,CUST1176,Ananya Singh,West,Software,Project Mgmt Tool,3,266.91,M. Gupta,Net Banking,Returning,800.73
ORD101073,2024-01-30,CUST1233,Pari Mehta,East,Electronics,Mechanical Keyboard,2,380.23,S. Khan,UPI,New,760.46
ORD100454,2025-02-20,CUST1034,Vivaan Chopra,East,Electronics,27in Monitor,1,308.64,N. Joshi,Debit Card,New,308.64
ORD100620,2025-02-21,CUST1200,Vivaan Agarwal,North,Electronics,Mechanical Keyboard,3,89.9,S. Khan,Debit Card,New,269.7
ORD101426,2025-01-28,CUST1166,Ishaan Chopra,East,Furniture,Filing Cabinet,5,256.89,S. Khan,Credit Card,New,1284.45
ORD100432,2025-10-18,CUST1012,Vivaan Iyer,East,Office Supplies,Whiteboard,1,440.16,P. Iyer,UPI,Returning,440.16
ORD100498,2024-03-12,CUST1078,Aarav Gupta,East,Software,Cloud Backup Plan,4,297.3,N. Joshi,Debit Card,New,1189.2
ORD101113,2024-05-19,CUST1273,Arjun Malhotra,South,Electronics,Wireless Mouse,2,332.36,M. Gupta,Wallet,Returning,664.72
ORD101054,2024-03-21,CUST1214,Aadhya Agarwal,East,Electronics,Mechanical Keyboard,1,157.07,P. Iyer,Wallet,Returning,157.07
ORD100967,2024-06-20,CUST1127,Diya Chopra,West,Electronics,Mechanical Keyboard,2,100.44,R. Verma,Wallet,New,200.88
ORD100324,2025-05-08,CUST1324,Ayaan Reddy,East,Software,VPN Subscription,1,158.6,S. Khan,Wallet,Returning,158.6
ORD100489,2024-05-09,CUST1069,Aarav Singh,East,Software,Cloud Backup Plan,1,408.73,N. Joshi,Debit Card,Returning,408.73
