OrderID,OrderDate,CustomerID,CustomerName,Region,Category,Product,Quantity,UnitPrice,SalesRep,PaymentMethod,CustomerSegment
ORD101510,2024-04-22,CUST1250,REYANSH KHAN,NORTH,Electronics,Mechanical Keyboard,2.0,360.96,M. Gupta,UPI,New
ORD101336,24/02/2024,CUST1076,Vivaan Nair,SOUTH,Furniture,Office Chair,5.0,127.45,P. Iyer,Wallet,New
ORD100806,2024-05-06,CUST1386,Sai Reddy,SOUTH,Software,Cloud Backup Plan,3.0,252.24,M. Gupta,Credit Card,Returning
ORD100500,04-May-2025,CUST1080,Krishna Verma,East,Software,Antivirus License,1.0,12.2,A. Sharma,Credit Card,New
ORD101471,2024-11-13,CUST1211,Riya Khan,North,Office Supplies,Notebook Pack,1.0,240.81,P. Iyer,Credit Card,Returning
ORD100369,04-Jan-2025,CUST1369,Navya Joshi,south,Furniture,Desk Lamp,1.0,,P. Iyer,Net Banking,Returning
ORD100779,26/06/2025,CUST1359,Ananya Patel,west,Software,Cloud Backup Plan,2.0,103.9,N. Joshi,Wallet,Returning
ORD100339,25/10/2025,CUST1339,Aditya Chopra,north,Electronics,Wireless Mouse,1.0,315.48,N. Joshi,UPI,Returning
ORD100813,15/09/2024,CUST1393,Kavya Sharma,SOUTH,Furniture,Bookshelf,1.0,144.98,S. Khan,UPI,Returning
ORD100621,09-Mar-2024,CUST1201,Navya Malhotra,WEST,Furniture,Bookshelf,4.0,284.46,M. Gupta,Net Banking,New
ORD101134,02-14-2024,CUST1294,Ayaan Nair,north,Office Supplies,Notebook Pack,2.0,319.33,R. Verma,Credit Card,New
ORD100284,02-Jul-2024,CUST1284,Reyansh Joshi,north,Software,Project Mgmt Tool,1.0,346.7,S. Khan,Credit Card,New
ORD101157,05-20-2024,CUST1317,Diya Reddy,South,Electronics,USB-C Hub,4.0,347.51,A. Sharma,Net Banking,New
ORD100526,2025-11-08,CUST1106,Aadhya Mehta,West,Office Supplies,Notebook Pack,5.0,434.37,R. Verma,Debit Card,New
ORD100146,12-22-2024,CUST1146,Aditya Verma,West,Furniture,Filing Cabinet,3.0,209.26,S. Khan,UPI,Returning
ORD101527,2025-09-28,CUST1267,Anika Nair,South,Software,VPN Subscription,4.0,315.53,S. Khan,Debit Card,Returning
ORD101212,2025-01-18,CUST1372,Aarav Nair,NORTH,Electronics,Mechanical Keyboard,5.0,333.06,N. Joshi,Net Banking,Returning
ORD101547,09-Aug-2024,CUST1287,Diya Joshi,SOUTH,Software,VPN Subscription,3.0,191.41,P. Iyer,Net Banking,Returning
ORD101370,08/02/2024,CUST1110,Saanvi Joshi,West,Electronics,Webcam HD,1.0,154.49,R. Verma,Debit Card,New
ORD100206,05-26-2024,CUST1206,Aadhya Reddy,South,Office Supplies,Sticky Notes,1.0,352.29,N. Joshi,Credit Card,New
ORD100095,17/05/2025,CUST1095,Reyansh Reddy,NORTH,Furniture,Filing Cabinet,1.0,67.99,A. Sharma,Net Banking,Returning
ORD100901,16/05/2025,CUST1061,Sai Nair,North ,Furniture,Desk Lamp,4.0,400.26,M. Gupta,Net Banking,New
ORD100147,17/06/2024,CUST1147,Aarav Chopra,NORTH,Electronics,Wireless Mouse,1.0,251.94,S. Khan,Debit Card,New
ORD100204,26/07/2025,CUST1204,Vihaan Khan,SOUTH,Office Supplies,Sticky Notes,3.0,297.26,S. Khan,Net Banking,Returning
ORD100172,05-25-2024,CUST1172,  Ayaan Iyer  ,East,Office Supplies,Pen Set,1.0,27.4,P. Iyer,UPI,New
ORD101016,09-05-2024,CUST1176,Anika Agarwal,EAST,Office Supplies,Desk Organizer,2.0,361.13,R. Verma,UPI,Returning
ORD100788,2025-10-01,CUST1368,ANANYA JOSHI,NORTH,Software,Antivirus License,1.0,141.8,N. Joshi,Net Banking,Returning
ORD101583,03-14-2024,CUST1323,Krishna Reddy,west,Furniture,Standing Desk,4.0,145.32,S. Khan,Debit Card,New
ORD101017,2024-02-24,CUST1177,Ananya Reddy,East,Electronics,27in Monitor,4.0,78.84,S. Khan,UPI,Returning
ORD100141,03-Dec-2024,CUST1141,Aarav Iyer,West,Office Supplies,Sticky Notes,3.0,198.33,P. Iyer,Net Banking,New
ORD100111,07-05-2025,CUST1111,Krishna Mehta,East,Furniture,Filing Cabinet,2.0,68.67,N. Joshi,Wallet,New
ORD100458,08-Apr-2024,CUST1038,Riya Sharma,West,Electronics,Wireless Mouse,2.0,390.15,S. Khan,UPI,New
ORD101138,06-16-2024,CUST1298,  Aarav Kumar  ,South,Office Supplies,Desk Organizer,2.0,359.76,M. Gupta,Credit Card,New
ORD101084,27-Feb-2024,CUST1244,Ishaan Agarwal,South,Software,Antivirus License,4.0,105.24,N. Joshi,Credit Card,New
ORD100648,04/07/2025,CUST1228,NAVYA MALHOTRA,north,Office Supplies,Notebook Pack,1.0,223.86,M. Gupta,UPI,Returning
ORD100503,2025-02-13,CUST1083,Ananya Nair,East,Furniture,Office Chair,3.0,197.14,N. Joshi,Credit Card,Returning
ORD101484,10-19-2025,CUST1224,Ananya Khan,WEST,Furniture,Office Chair,2.0,180.83,N. Joshi,UPI,Returning
ORD101187,2024-10-13,CUST1347,Kavya Khan,South,Electronics,USB-C Hub,1.0,33.02,P. Iyer,Credit Card,New
ORD100140,03-21-2025,CUST1140,  Ishaan Kumar  ,West,Office Supplies,Sticky Notes,4.0,140.49,N. Joshi,UPI,New
ORD101599,12/02/2024,CUST1339,Diya Mehta,south,Electronics,Webcam HD,5.0,422.96,S. Khan,Credit Card,New
ORD100872,25-Dec-2025,CUST1032,Kavya Gupta,west,Software,Cloud Backup Plan,3.0,431.46,R. Verma,Net Banking,Returning
ORD100895,28-Aug-2024,CUST1055,  Ayaan Khan  ,west,Office Supplies,Whiteboard,4.0,104.74,A. Sharma,Net Banking,Returning
ORD100912,02-Jun-2024,CUST1072,Aditya Patel,south,Furniture,Bookshelf,4.0,256.85,R. Verma,Net Banking,Returning
ORD100540,03-Feb-2025,CUST1120,Kavya Agarwal,west,Electronics,Mechanical Keyboard,-2.0,99.46,A. Sharma,Wallet,Returning
ORD100698,26-Dec-2024,CUST1278,Aarav Gupta,EAST,Software,VPN Subscription,-4.0,448.16,S. Khan,Debit Card,Returning
ORD101058,2025-05-13,CUST1218,SAANVI VERMA,east,Electronics,USB-C Hub,1.0,183.82,A. Sharma,Credit Card,Returning
ORD101195,16/12/2024,CUST1355,  Arjun Verma  ,east,Office Supplies,Sticky Notes,2.0,410.83,N. Joshi,Credit Card,Returning
ORD101076,09/04/2025,CUST1236,Aarav Kumar,SOUTH,Software,Cloud Backup Plan,1.0,382.16,A. Sharma,Net Banking,New
ORD100447,21/06/2024,CUST1027,Reyansh Agarwal,west,Electronics,Webcam HD,4.0,432.92,M. Gupta,Net Banking,New
ORD100817,24-May-2025,CUST1397,  Aditya Iyer  ,West,Office Supplies,Desk Organizer,5.0,190.29,A. Sharma,Net Banking,Returning
ORD100913,10-Feb-2024,CUST1073,Pari Iyer,NORTH,Furniture,Standing Desk,1.0,187.78,S. Khan,Wallet,Returning
ORD100058,01-09-2025,CUST1058,Sai Singh,NORTH,Furniture,Filing Cabinet,1.0,121.58,N. Joshi,Net Banking,New
ORD101412,08-01-2024,CUST1152,Kavya Patel,East,Furniture,Filing Cabinet,3.0,352.01,S. Khan,Credit Card,Returning
ORD100530,25-Mar-2025,CUST1110,Sai Joshi,EAST,Furniture,Filing Cabinet,,69.82,N. Joshi,Debit Card,New
ORD100804,07-18-2024,CUST1384,  Navya Verma  ,east,Office Supplies,Pen Set,2.0,,P. Iyer,Debit Card,New
ORD100782,2025-09-19,CUST1362,Arjun Agarwal,west,Software,Project Mgmt Tool,,355.84,A. Sharma,Net Banking,New
ORD101237,02-Dec-2025,CUST1397,Sai Patel,West,Office Supplies,Pen Set,1.0,402.93,A. Sharma,UPI,Returning
ORD100964,2024-05-01,CUST1124,Anika Gupta,EAST,Furniture,Standing Desk,-4.0,,A. Sharma,Credit Card,New
ORD100346,2025-04-27,CUST1346,Vivaan Mehta,SOUTH,Office Supplies,Notebook Pack,2.0,317.97,P. Iyer,Credit Card,Returning
ORD101481,2024-07-19,CUST1221,AYAAN NAIR,west,Software,Antivirus License,1.0,,N. Joshi,Wallet,Returning
ORD100012,2025-02-14,CUST1012,Ayaan Gupta,North,Electronics,Wireless Mouse,1.0,175.51,S. Khan,Net Banking,Returning
ORD101286,2025-11-25,CUST1026,Vivaan Mehta,east,Furniture,Standing Desk,5.0,328.31,A. Sharma,UPI,Returning
ORD100409,17/08/2025,CUST1409,Diya Gupta, East,Furniture,Filing Cabinet,2.0,83.08,A. Sharma,Net Banking,Returning
ORD100858,12-29-2025,CUST1018,Sai Sharma,east,Furniture,Desk Lamp,1.0,,S. Khan,Net Banking,Returning
ORD100060,16/09/2025,CUST1060,Navya Malhotra,north,Software,Antivirus License,1.0,288.85,A. Sharma,Debit Card,New
ORD100071,2025-09-02,CUST1071,Ishaan Mehta,west,Office Supplies,Sticky Notes,1.0,76.77,S. Khan,UPI,Returning
ORD100511,16/10/2024,CUST1091,SAANVI IYER, East,Software,Cloud Backup Plan,4.0,51.02,A. Sharma,Net Banking,Returning
ORD100043,06-01-2024,CUST1043,REYANSH IYER,north,Furniture,Desk Lamp,1.0,39.56,M. Gupta,Net Banking,Returning
ORD100370,22/10/2024,CUST1370,Kavya Mehta,WEST,Electronics,Mechanical Keyboard,4.0,330.04,R. Verma,Debit Card,Returning
ORD100311,09-30-2025,CUST1311,Navya Chopra,WEST,Furniture,Filing Cabinet,1.0,279.52,R. Verma,Wallet,New
ORD100116,29-Aug-2024,CUST1116,Ananya Malhotra,north,Office Supplies,Whiteboard,2.0,,N. Joshi,Net Banking,New
ORD101502,22/08/2024,CUST1242,ADITYA MEHTA,North ,Office Supplies,Pen Set,1.0,51.29,P. Iyer,UPI,New
ORD101450,2025-06-27,CUST1190,Ananya Kumar,North,Electronics,Wireless Mouse,1.0,103.8,N. Joshi,Credit Card,Returning
ORD101201,10/01/2024,CUST1361,Krishna Iyer,north,Software,Cloud Backup Plan,1.0,449.06,N. Joshi,Debit Card,New
ORD101312,09-Dec-2025,CUST1052,Ananya Verma,west,Office Supplies,Pen Set,2.0,391.19,R. Verma,Credit Card,New
ORD100200,2025-09-07,CUST1200,Aarav Khan,south,Software,Antivirus License,2.0,119.56,N. Joshi,Net Banking,Returning
ORD100115,21/11/2025,CUST1115,Aarav Mehta,WEST,Furniture,Standing Desk,1.0,278.04,P. Iyer,Credit Card,Returning
ORD101553,02/06/2024,CUST1293,Aadhya Patel,North,Furniture,Office Chair,2.0,327.28,P. Iyer,UPI,Returning
ORD101309,11-16-2025,CUST1049,Krishna Kumar,North,Furniture,Filing Cabinet,2.0,274.21,S. Khan,Credit Card,New
ORD100948,03/07/2024,CUST1108,RIYA GUPTA,NORTH,Electronics,27in Monitor,3.0,152.93,N. Joshi,Net Banking,New
ORD101151,12/02/2025,CUST1311,  Vihaan Chopra  ,West,Furniture,Standing Desk,5.0,25.28,A. Sharma,Wallet,New
ORD100065,11-05-2025,CUST1065,  Anika Singh  ,west,Electronics,27in Monitor,-5.0,292.36,S. Khan,Credit Card,Returning
ORD100732,09-28-2024,CUST1312,Myra Singh,East,Office Supplies,Notebook Pack,1.0,354.2,R. Verma,UPI,New
ORD100009,2024-12-12,CUST1009,Anika Khan, East,Furniture,Filing Cabinet,-2.0,268.09,A. Sharma,Credit Card,Returning
ORD100374,05-18-2024,CUST1374,Vivaan Gupta,NORTH,Office Supplies,Pen Set,1.0,31.38,A. Sharma,Net Banking,Returning
ORD100051,04-Jun-2024,CUST1051,Saanvi Nair,NORTH,Software,VPN Subscription,1.0,63.8,S. Khan,Credit Card,Returning
ORD100571,22/12/2024,CUST1151,Riya Agarwal,north,Office Supplies,Whiteboard,,437.51,A. Sharma,Net Banking,Returning
ORD100358,07-08-2024,CUST1358,Kavya Agarwal,WEST,Electronics,27in Monitor,-5.0,319.12,N. Joshi,Net Banking,New
ORD101021,06-21-2024,CUST1181,Kavya Joshi,west,Software,Antivirus License,2.0,427.01,N. Joshi,Debit Card,Returning
ORD100037,29-Dec-2025,CUST1037,Riya Agarwal,north,Software,VPN Subscription,5.0,358.48,P. Iyer,Wallet,Returning
ORD100922,24/04/2024,CUST1082,AARAV REDDY,north,Office Supplies,Notebook Pack,1.0,116.02,P. Iyer,Net Banking,New
ORD100680,28/04/2024,CUST1260,Reyansh Kumar,EAST,Electronics,Webcam HD,5.0,69.8,M. Gupta,Credit Card,Returning
ORD100681,12/04/2024,CUST1261,Aadhya Khan,NORTH,Electronics,Mechanical Keyboard,3.0,,M. Gupta,UPI,Returning
ORD101406,2025-05-07,CUST1146,RIYA IYER,North ,Electronics,Mechanical Keyboard,1.0,357.5,A. Sharma,Wallet,Returning
ORD100278,2025-10-02,CUST1278,Navya Patel,South,Software,Antivirus License,1.0,165.14,S. Khan,Debit Card,Returning
ORD101313,18-Mar-2025,CUST1053,  Anika Malhotra  ,west,Furniture,Office Chair,1.0,231.47,A. Sharma,Wallet,New
ORD101594,2025-04-22,CUST1334,Vihaan Patel,WEST,Office Supplies,Sticky Notes,1.0,301.48,S. Khan,UPI,New
ORD101051,29/07/2024,CUST1211,Diya Verma,west,Software,Cloud Backup Plan,1.0,270.58,A. Sharma,Credit Card,Returning
ORD101245,2024-01-26,CUST1405,MYRA CHOPRA,east,Software,Cloud Backup Plan,,213.33,A. Sharma,UPI,New
ORD100004,18/11/2024,CUST1004,Krishna Verma,South,Furniture,Filing Cabinet,5.0,182.87,R. Verma,Wallet,Returning
ORD100188,04-13-2024,CUST1188,Sai Reddy, East,Electronics,27in Monitor,2.0,438.68,M. Gupta,Net Banking,Returning
ORD101252,01-18-2025,CUST1412,  Sai Singh  ,South,Office Supplies,Notebook Pack,3.0,385.25,P. Iyer,Net Banking,Returning
ORD101384,13/09/2024,CUST1124,Pari Verma,South,Furniture,Standing Desk,4.0,220.77,A. Sharma,UPI,New
ORD101133,2024-07-03,CUST1293,Sai Chopra,south,Office Supplies,Whiteboard,4.0,174.63,N. Joshi,Wallet,Returning
ORD101137,2024-11-14,CUST1297,Saanvi Kumar,south,Furniture,Filing Cabinet,4.0,328.11,R. Verma,UPI,New
ORD100286,02-05-2024,CUST1286,  Kavya Khan  ,south,Furniture,Bookshelf,1.0,236.78,R. Verma,Debit Card,Returning
ORD100099,17/08/2025,CUST1099,Riya Verma,SOUTH,Furniture,Desk Lamp,1.0,299.16,M. Gupta,Credit Card,New
ORD101408,17-May-2025,CUST1148,Reyansh Iyer,WEST,Electronics,Webcam HD,2.0,388.2,A. Sharma,Credit Card,Returning
ORD101508,2025-11-27,CUST1248,Aarav Singh,North ,Office Supplies,Whiteboard,5.0,445.74,M. Gupta,Wallet,Returning
ORD100416,13/11/2024,CUST1416,Vihaan Kumar,west,Furniture,Standing Desk,3.0,302.16,S. Khan,UPI,Returning
ORD100101,11-22-2024,CUST1101,Reyansh Patel,west,Software,VPN Subscription,4.0,65.8,S. Khan,Credit Card,Returning
ORD100359,03-23-2024,CUST1359,Riya Reddy, East,Furniture,Desk Lamp,1.0,235.51,S. Khan,Net Banking,Returning
ORD101582,23-Jun-2025,CUST1322,ADITYA NAIR,west,Software,Cloud Backup Plan,1.0,197.42,A. Sharma,Wallet,Returning
ORD100127,2025-01-14,CUST1127,ANANYA NAIR,West,Furniture,Standing Desk,2.0,30.78,A. Sharma,Debit Card,New
ORD101397,07/02/2025,CUST1137,Ayaan Nair,North ,Electronics,USB-C Hub,5.0,47.07,R. Verma,UPI,New
ORD100328,29-Dec-2025,CUST1328,Aadhya Mehta,NORTH,Electronics,Mechanical Keyboard,4.0,176.65,R. Verma,Wallet,Returning
ORD100506,12-09-2025,CUST1086,Riya Nair, East,Electronics,Mechanical Keyboard,2.0,419.85,S. Khan,UPI,Returning
ORD100943,13/07/2024,CUST1103,Riya Reddy,east,Software,VPN Subscription,5.0,40.86,A. Sharma,Debit Card,Returning
ORD100473,10-Jan-2024,CUST1053,Arjun Reddy,west,Electronics,USB-C Hub,3.0,158.2,N. Joshi,Wallet,Returning
ORD101278,10-Sep-2024,CUST1018,Vivaan Patel,south,Software,VPN Subscription,2.0,,S. Khan,UPI,New
ORD101249,09/04/2025,CUST1409,Kavya Iyer,north,Software,VPN Subscription,2.0,165.31,N. Joshi,Wallet,Returning
ORD100189,02-25-2024,CUST1189,Saanvi Reddy,east,Electronics,Wireless Mouse,1.0,197.0,R. Verma,Credit Card,New
ORD100699,23/10/2024,CUST1279,Saanvi Singh,south,Electronics,Wireless Mouse,1.0,346.96,P. Iyer,Debit Card,Returning
ORD100999,21-Aug-2025,CUST1159,Pari Joshi,north,Furniture,Desk Lamp,1.0,,M. Gupta,Wallet,Returning
ORD100971,10/08/2024,CUST1131,Kavya Nair,North ,Office Supplies,Notebook Pack,1.0,152.01,M. Gupta,Debit Card,Returning
ORD100445,2025-01-19,CUST1025,Ananya Gupta,NORTH,Software,Antivirus License,1.0,97.53,M. Gupta,UPI,New
ORD100228,2024-06-26,CUST1228,  Kavya Gupta  ,SOUTH,Office Supplies,Sticky Notes,4.0,25.96,P. Iyer,Credit Card,Returning
ORD100113,08/02/2024,CUST1113,Ayaan Joshi,East,Electronics,Webcam HD,4.0,397.95,S. Khan,UPI,New
ORD101215,01-31-2025,CUST1375,Anika Iyer,south,Software,Antivirus License,4.0,429.09,M. Gupta,UPI,Returning
ORD100063,21/07/2025,CUST1063,  Arjun Agarwal  ,North,Furniture,Standing Desk,2.0,367.37,M. Gupta,Credit Card,Returning
ORD100707,06-18-2025,CUST1287,KRISHNA REDDY,WEST,Furniture,Desk Lamp,1.0,105.69,N. Joshi,Debit Card,Returning
ORD100179,20/10/2025,CUST1179,Aditya Kumar,west,Software,Antivirus License,1.0,445.32,S. Khan,Net Banking,Returning
ORD101586,07/12/2024,CUST1326,  Reyansh Malhotra  ,NORTH,Electronics,Mechanical Keyboard,5.0,338.51,N. Joshi,UPI,New
ORD100185,2024-08-14,CUST1185,Navya Patel,North ,Electronics,Mechanical Keyboard,5.0,70.16,R. Verma,Credit Card,Returning
ORD100845,26/06/2024,CUST1005,Ayaan Singh,North,Office Supplies,Whiteboard,2.0,55.47,M. Gupta,UPI,Returning
ORD100117,12-21-2025,CUST1117,Sai Iyer,North,Software,Cloud Backup Plan,1.0,290.31,R. Verma,UPI,New
ORD100904,2025-03-06,CUST1064,SAI PATEL,south,Software,Antivirus License,1.0,345.87,R. Verma,Debit Card,Returning
ORD100755,26-Sep-2024,CUST1335,Krishna Mehta,West,Software,VPN Subscription,3.0,169.12,A. Sharma,Debit Card,Returning
ORD100348,01/03/2025,CUST1348,SAI PATEL,east,Electronics,Webcam HD,3.0,252.61,A. Sharma,Wallet,Returning
ORD100186,2024-04-20,CUST1186,AYAAN MEHTA,West,Furniture,Standing Desk,1.0,178.58,S. Khan,UPI,Returning
ORD101183,2024-12-25,CUST1343,Anika Khan,South,Furniture,Desk Lamp,2.0,375.37,R. Verma,UPI,New
ORD101033,02-22-2025,CUST1193,Riya Nair,North ,Furniture,Filing Cabinet,1.0,,S. Khan,Debit Card,New
ORD100638,02-21-2025,CUST1218,Ananya Reddy,west,Office Supplies,Notebook Pack,5.0,424.58,P. Iyer,Debit Card,New
ORD101238,27-May-2024,CUST1398,Kavya Nair,west,Office Supplies,Notebook Pack,1.0,387.97,M. Gupta,UPI,Returning
ORD100531,13/06/2024,CUST1111,Saanvi Iyer,south,Electronics,Mechanical Keyboard,5.0,432.19,S. Khan,Debit Card,Returning
ORD100027,15-Jul-2025,CUST1027,Navya Chopra,south,Furniture,Filing Cabinet,1.0,336.7,N. Joshi,Net Banking,Returning
ORD100167,03-15-2025,CUST1167,Vihaan Agarwal,south,Office Supplies,Sticky Notes,1.0,124.22,M. Gupta,Net Banking,New
ORD100354,09/12/2024,CUST1354,Reyansh Nair,west,Office Supplies,Whiteboard,1.0,313.96,S. Khan,UPI,New
ORD100993,2025-05-01,CUST1153,Aditya Joshi,South,Furniture,Desk Lamp,1.0,33.45,P. Iyer,Wallet,New
ORD101010,2025-07-13,CUST1170,Riya Reddy,SOUTH,Furniture,Desk Lamp,4.0,212.08,P. Iyer,UPI,New
ORD101083,05-01-2024,CUST1243,Arjun Singh,South,Software,Cloud Backup Plan,1.0,178.08,P. Iyer,Wallet,New
ORD100669,21/09/2025,CUST1249,Aarav Agarwal, East,Office Supplies,Desk Organizer,1.0,80.85,A. Sharma,Debit Card,Returning
ORD101317,21/02/2025,CUST1057,Myra Agarwal,SOUTH,Furniture,Filing Cabinet,2.0,,R. Verma,Credit Card,New
ORD100586,08-Mar-2024,CUST1166,Pari Agarwal,NORTH,Office Supplies,Whiteboard,2.0,274.0,M. Gupta,Credit Card,Returning
ORD100556,10/09/2025,CUST1136,VIHAAN GUPTA,WEST,Electronics,USB-C Hub,1.0,12.8,M. Gupta,Net Banking,Returning
ORD100378,2024-05-13,CUST1378,Arjun Mehta,North,Office Supplies,Desk Organizer,4.0,313.34,S. Khan,Credit Card,New
ORD100210,2024-02-19,CUST1210,  Krishna Agarwal  ,NORTH,Electronics,27in Monitor,1.0,29.32,P. Iyer,UPI,New
ORD101524,2024-08-28,CUST1264,Ayaan Patel,EAST,Furniture,Desk Lamp,1.0,220.97,R. Verma,Debit Card,Returning
ORD101383,10/06/2025,CUST1123,Kavya Khan,NORTH,Furniture,Standing Desk,1.0,316.68,N. Joshi,Wallet,Returning
ORD101404,03-Mar-2025,CUST1144,Vivaan Gupta,North,Furniture,Standing Desk,1.0,186.66,M. Gupta,Wallet,New
ORD100568,03-24-2024,CUST1148,Sai Verma,North ,Furniture,Bookshelf,5.0,393.11,A. Sharma,Credit Card,Returning
ORD100717,02/10/2024,CUST1297,Anika Khan,SOUTH,Office Supplies,Sticky Notes,2.0,216.62,P. Iyer,Net Banking,Returning
ORD100294,2024-06-23,CUST1294,  Pari Malhotra  ,SOUTH,Electronics,27in Monitor,2.0,96.71,A. Sharma,Credit Card,Returning
ORD100488,19/01/2025,CUST1068,Arjun Patel,West,Electronics,Wireless Mouse,1.0,113.22,P. Iyer,Debit Card,Returning
ORD101216,2024-06-12,CUST1376,Ishaan Khan,WEST,Furniture,Desk Lamp,-2.0,167.83,M. Gupta,Net Banking,Returning
ORD101328,17-Nov-2025,CUST1068,Ananya Mehta,West,Office Supplies,Desk Organizer,-4.0,249.75,R. Verma,Debit Card,Returning
ORD101165,19-Oct-2024,CUST1325,Sai Khan,SOUTH,Electronics,USB-C Hub,1.0,147.66,P. Iyer,UPI,Returning
ORD100287,10/01/2025,CUST1287,Vivaan Khan,NORTH,Office Supplies,Notebook Pack,2.0,121.26,R. Verma,Credit Card,Returning
ORD101170,20-Aug-2025,CUST1330,Vivaan Gupta,SOUTH,Electronics,Webcam HD,1.0,370.44,S. Khan,Credit Card,Returning
ORD100017,2024-02-22,CUST1017,Krishna Joshi,east,Furniture,Standing Desk,4.0,374.57,P. Iyer,Debit Card,Returning
ORD100658,21-Jan-2025,CUST1238,Vivaan Kumar,East,Office Supplies,Desk Organizer,1.0,369.69,M. Gupta,UPI,New
ORD101253,16/07/2024,CUST1413,Reyansh Reddy,north,Software,Cloud Backup Plan,2.0,383.61,A. Sharma,Wallet,New
ORD100980,2024-04-28,CUST1140,Vihaan Reddy,west,Office Supplies,Notebook Pack,4.0,185.99,N. Joshi,Credit Card,Returning
ORD100263,2025-04-29,CUST1263,Reyansh Gupta,east,Software,VPN Subscription,1.0,194.31,M. Gupta,Net Banking,Returning
ORD101531,02-25-2025,CUST1271,Diya Sharma,SOUTH,Furniture,Standing Desk,1.0,60.16,P. Iyer,UPI,Returning
ORD100118,11/11/2025,CUST1118,Riya Malhotra,WEST,Furniture,Filing Cabinet,2.0,308.71,M. Gupta,Net Banking,New
ORD101044,2025-12-15,CUST1204,Vivaan Agarwal,East,Software,Antivirus License,,59.35,S. Khan,Credit Card,New
ORD100407,24-Oct-2025,CUST1407,Kavya Malhotra,EAST,Office Supplies,Pen Set,1.0,12.56,N. Joshi,Debit Card,Returning
ORD101152,06/07/2025,CUST1312,Vihaan Agarwal,EAST,Furniture,Desk Lamp,1.0,153.81,M. Gupta,Wallet,Returning
ORD100507,29/08/2025,CUST1087,ISHAAN VERMA,South,Furniture,Office Chair,1.0,261.19,N. Joshi,Credit Card,Returning
ORD101417,17/11/2024,CUST1157,Ayaan Patel,south,Electronics,Wireless Mouse,3.0,435.49,N. Joshi,Wallet,New
ORD101559,2025-08-27,CUST1299,Ishaan Khan,West,Furniture,Filing Cabinet,2.0,208.57,P. Iyer,Net Banking,New
ORD101125,12/04/2024,CUST1285,Pari Agarwal,West,Office Supplies,Whiteboard,1.0,45.99,A. Sharma,Debit Card,Returning
ORD101296,13/11/2025,CUST1036,Diya Reddy,west,Electronics,Mechanical Keyboard,1.0,338.83,R. Verma,Debit Card,Returning
ORD100463,27/04/2024,CUST1043,  DIYA SHARMA  ,south,Office Supplies,Notebook Pack,2.0,202.66,A. Sharma,Debit Card,New
ORD101275,04-06-2024,CUST1015,Ishaan Khan,NORTH,Software,Antivirus License,2.0,209.38,S. Khan,Credit Card,Returning
ORD100595,02-May-2025,CUST1175,Aarav Malhotra,West,Electronics,Mechanical Keyboard,3.0,125.39,R. Verma,UPI,Returning
ORD100768,11-Apr-2024,CUST1348,Diya Nair,WEST,Office Supplies,Pen Set,1.0,402.42,R. Verma,Wallet,New
ORD101478,22-May-2025,CUST1218,Arjun Iyer, East,Software,VPN Subscription,2.0,19.02,N. Joshi,Wallet,New
ORD100517,2024-09-19,CUST1097,Pari Singh,East,Electronics,Mechanical Keyboard,1.0,441.13,S. Khan,Credit Card,New
ORD100757,23-Jan-2024,CUST1337,PARI IYER,WEST,Software,VPN Subscription,1.0,403.96,P. Iyer,Credit Card,Returning
